Level,Experience,Health,STR,VIT,MAG
1,100,85,0,0,1
2,150,85,0,0,2
3,200,85,0,0,3
4,250,85,0,0,4
5,300,85,0,0,5
6,400,85,0,0,6
7,450,85,0,0,7
8,500,85,0,0,8
9,550,85,0,0,9
10,600,90,0,1,11
11,700,90,0,1,12
12,750,90,0,1,13
13,800,90,0,1,14
14,850,90,0,1,15
15,900,90,0,1,16
16,1000,90,0,1,17
17,1100,90,0,1,18
18,1200,90,0,1,19
19,1300,90,0,1,20
20,1400,92,0,2,22
21,1500,94,0,2,23
22,2000,96,0,2,24
23,2500,98,0,2,25
24,3000,100,0,2,26
25,3500,105,0,2,27
26,4000,105,0,2,28
27,4100,105,0,2,29
28,4200,105,0,2,30
29,4300,105,0,2,31
30,4400,105,0,3,33
31,4500,105,0,3,34
32,5000,105,0,3,35
33,5500,105,0,3,36
34,6000,105,0,3,37
35,7000,105,0,3,38
36,8000,105,0,3,39
37,8500,105,0,3,40
38,9500,105,0,3,41
39,10000,105,0,3,42
40,11000,108,0,4,44
41,15000,108,0,4,45
42,20000,108,0,4,46
43,25000,108,0,4,47
44,30000,108,0,4,48
45,35000,108,0,4,49
46,36000,108,0,4,50
47,37000,108,0,4,51
48,38000,108,0,4,52
49,39000,108,0,4,53
50,40000,110,0,5,55
51,41000,110,0,5,58
52,42000,110,0,5,61
53,43000,110,0,5,64
54,44000,110,0,5,67
55,45000,110,0,5,70
56,50000,110,0,5,73
57,52000,110,0,5,76
58,54000,110,0,5,79
59,56000,110,0,5,72
60,58000,112,0,6,75
61,60000,112,0,6,78
62,70000,112,0,6,81
63,80000,112,0,6,84
64,90000,112,0,6,87
65,100000,112,0,6,90
66,125000,112,0,6,93
67,150000,112,0,6,96
68,175000,112,0,6,99
69,200000,112,0,6,102
70,250000,114,0,7,105
71,300000,116,0,7,108
72,350000,118,0,7,111
73,400000,120,0,7,114
74,450000,122,0,7,117
75,500000,124,0,7,120
76,502500,124,0,7,123
77,505000,124,0,7,126
78,507500,124,0,7,129
79,510000,124,0,7,132
80,520000,124,0,8,135
81,540000,124,0,8,138
82,560000,124,0,8,141
83,580000,124,0,8,144
84,600000,124,0,8,147
85,650000,124,0,8,150
86,700000,124,0,8,153
87,725000,124,0,8,156
88,750000,124,0,8,159
89,775000,124,0,8,162
90,800000,125,0,9,165
91,1000000,130,0,9,168
92,1250000,135,0,9,171
93,1500000,140,0,9,174
94,1750000,145,0,9,177
95,2000000,150,0,10,180
96,2500000,155,0,12,185
97,3000000,160,0,14,190
98,3500000,165,0,16,195
99,4000000,170,0,18,200
100,-1,175,0,20,210
