Level,Experience,Health,STR,VIT,MAG
1,100,75,1,0,1
2,150,75,2,0,1
3,200,75,3,0,1
4,250,75,4,0,1
5,300,80,5,0,1
6,400,80,6,0,2
7,450,80,7,0,2
8,500,80,8,0,2
9,550,80,9,0,2
10,600,85,10,0,2
11,700,85,11,0,2
12,750,85,12,0,2
13,800,85,13,0,2
14,850,85,14,0,2
15,900,90,15,0,3
16,1000,90,16,0,3
17,1100,90,17,0,3
18,1200,90,18,0,3
19,1300,90,19,0,3
20,1400,95,20,0,4
21,1500,95,22,0,4
22,2000,95,24,0,4
23,2500,95,26,0,4
24,3000,95,28,0,4
25,3500,95,30,0,4
26,4000,95,32,0,4
27,4100,95,34,0,4
28,4200,95,36,0,4
29,4300,95,38,0,4
30,4400,100,40,0,4
31,4500,100,41,0,4
32,5000,100,42,0,4
33,5500,100,43,0,4
34,6000,100,44,0,4
35,7000,100,45,0,4
36,8000,100,46,0,4
37,8500,100,47,0,4
38,9500,100,48,0,4
39,10000,100,49,0,4
40,11000,102,50,0,5
41,15000,102,53,0,5
42,20000,102,56,0,5
43,25000,102,59,0,5
44,30000,102,62,0,5
45,35000,102,65,0,5
46,36000,102,68,0,5
47,37000,102,71,0,5
48,38000,102,74,0,5
49,39000,102,77,0,5
50,40000,104,80,1,6
51,41000,104,82,1,6
52,42000,104,84,1,6
53,43000,104,86,1,6
54,44000,104,88,1,6
55,45000,104,90,1,6
56,50000,104,93,1,6
57,52000,104,96,1,6
58,54000,104,99,1,6
59,56000,104,102,1,6
60,58000,106,105,1,7
61,60000,106,107,1,7
62,70000,106,109,1,7
63,80000,106,112,1,7
64,90000,106,115,1,7
65,100000,106,118,1,7
66,125000,106,121,1,7
67,150000,106,124,1,7
68,175000,106,127,1,7
69,200000,106,130,1,7
70,250000,108,132,1,8
71,300000,108,134,1,8
72,350000,108,136,1,8
73,400000,108,138,1,8
74,450000,108,140,1,8
75,500000,108,143,1,8
76,502500,108,146,1,8
77,505000,108,149,1,8
78,507500,108,152,1,8
79,510000,108,155,1,8
80,520000,110,158,1,9
81,540000,110,161,1,9
82,560000,110,164,1,9
83,580000,110,167,1,9
84,600000,110,170,1,9
85,650000,110,172,1,9
86,700000,110,174,1,9
87,725000,110,176,1,9
88,750000,110,178,1,9
89,775000,110,180,1,9
90,800000,110,185,1,10
91,1000000,112,189,1,10
92,1250000,114,193,1,10
93,1500000,116,197,1,10
94,1750000,118,201,1,10
95,2000000,120,205,1,10
96,2500000,125,209,1,11
97,3000000,130,213,1,12
98,3500000,135,217,1,13
99,4000000,140,222,1,14
100,-1,150,227,2,15
