Level,Experience,Health,STR,VIT,MAG
1,100,85,2,1,0
2,150,85,3,1,0
3,200,85,4,1,0
4,250,85,5,1,0
5,300,85,6,1,0
6,400,90,7,1,0
7,450,90,8,1,0
8,500,90,9,1,0
9,550,90,10,1,0
10,600,90,11,1,0
11,700,90,12,2,1
12,750,95,14,2,1
13,800,95,16,2,1
14,850,95,18,2,1
15,900,95,20,3,1
16,1000,100,22,3,1
17,1100,100,24,3,1
18,1200,100,26,3,1
19,1300,100,28,3,1
20,1400,100,30,3,1
21,1500,105,31,4,2
22,2000,105,34,4,2
23,2500,105,37,4,2
24,3000,105,40,4,2
25,3500,105,44,5,2
26,4000,105,48,5,2
27,4100,105,52,5,2
28,4200,105,56,5,2
29,4300,105,60,5,2
30,4400,105,64,5,2
31,4500,105,65,6,3
32,5000,105,70,6,3
33,5500,105,75,6,3
34,6000,105,80,6,3
35,7000,105,85,6,3
36,8000,105,90,6,3
37,8500,105,95,6,3
38,9500,105,100,6,3
39,10000,105,105,6,3
40,11000,105,110,6,3
41,15000,105,115,6,3
42,20000,105,120,6,3
43,25000,105,125,6,3
44,30000,105,130,6,3
45,35000,105,140,6,3
46,36000,105,150,6,3
47,37000,105,160,6,3
48,38000,105,170,6,3
49,39000,105,180,6,3
50,40000,110,190,6,4
51,41000,110,200,7,5
52,42000,110,215,7,5
53,43000,110,230,7,5
54,44000,110,245,7,5
55,45000,110,260,7,5
56,50000,110,275,7,5
57,52000,110,290,7,5
58,54000,110,305,7,5
59,56000,110,320,7,5
60,58000,110,350,7,5
61,60000,115,370,8,6
62,70000,115,400,8,6
63,80000,115,430,8,6
64,90000,115,460,8,6
65,100000,115,490,8,6
66,125000,115,520,8,6
67,150000,115,550,8,6
68,175000,115,580,8,6
69,200000,115,610,8,6
70,250000,115,640,8,6
71,300000,120,700,9,7
72,350000,120,750,9,7
73,400000,120,800,9,7
74,450000,120,850,9,7
75,500000,120,900,9,7
76,502500,120,950,9,7
77,505000,120,1000,9,7
78,507500,120,1050,9,7
79,510000,120,1100,9,7
80,520000,120,1150,9,7
81,540000,130,1200,10,8
82,560000,130,1250,10,8
83,580000,130,1300,10,8
84,600000,130,1350,10,8
85,650000,130,1400,10,8
86,700000,130,1450,10,8
87,725000,130,1500,10,8
88,750000,130,1550,10,8
89,775000,130,1600,10,8
90,800000,130,1650,10,8
91,1000000,140,1700,11,9
92,1250000,150,1800,12,9
93,1500000,160,1900,13,9
94,1750000,170,2000,14,9
95,2000000,180,2200,15,9
96,2500000,190,2400,16,9
97,3000000,200,2600,17,9
98,3500000,210,2800,18,9
99,4000000,220,2900,19,9
100,-1,250,3000,20,10
