Level,Experience,Health,STR,VIT,MAG
1,100,105,1,1,0
2,150,105,2,1,0
3,200,105,2,2,0
4,250,105,3,2,0
5,300,105,3,3,0
6,400,105,4,3,0
7,450,105,4,4,0
8,500,105,5,4,0
9,550,105,5,5,0
10,600,105,6,5,0
11,700,110,7,6,0
12,750,110,7,7,0
13,800,110,8,7,0
14,850,110,8,8,0
15,900,110,9,8,0
16,1000,110,9,9,0
17,1100,110,10,9,0
18,1200,110,10,10,0
19,1300,110,11,10,0
20,1400,110,11,11,0
21,1500,115,12,11,0
22,2000,120,12,12,0
23,2500,125,13,12,0
24,3000,130,13,13,0
25,3500,135,14,13,0
26,4000,135,14,14,0
27,4100,135,15,14,0
28,4200,135,15,15,0
29,4300,135,16,15,0
30,4400,135,16,16,0
31,4500,140,17,16,0
32,5000,145,17,17,0
33,5500,150,18,17,0
34,6000,155,18,18,0
35,7000,160,19,18,0
36,8000,160,19,19,0
37,8500,160,20,19,0
38,9500,160,20,20,0
39,10000,160,21,20,0
40,11000,160,22,21,0
41,15000,160,23,21,0
42,20000,160,24,22,0
43,25000,160,25,22,0
44,30000,160,28,23,0
45,35000,160,29,23,0
46,36000,160,30,24,0
47,37000,160,31,24,0
48,38000,160,32,25,0
49,39000,160,33,25,0
50,40000,160,36,28,0
51,41000,165,37,30,0
52,42000,170,38,32,0
53,43000,175,39,34,0
54,44000,180,40,36,0
55,45000,185,41,38,0
56,50000,190,42,40,0
57,52000,195,43,42,0
58,54000,200,44,44,0
59,56000,205,45,46,0
60,58000,210,46,48,0
61,60000,210,47,50,0
62,70000,210,48,53,0
63,80000,210,49,56,0
64,90000,210,50,59,0
65,100000,210,51,62,0
66,125000,215,52,65,0
67,150000,220,53,68,0
68,175000,225,54,71,0
69,200000,230,55,74,0
70,250000,230,56,77,0
71,300000,230,57,80,0
72,350000,230,58,84,0
73,400000,230,59,88,0
74,450000,230,60,92,0
75,500000,230,62,96,0
76,502500,235,64,100,0
77,505000,240,66,105,0
78,507500,245,68,110,0
79,510000,250,70,115,0
80,520000,250,72,120,0
81,540000,255,74,125,0
82,560000,260,76,130,0
83,580000,265,78,135,0
84,600000,270,80,140,0
85,650000,270,83,145,0
86,700000,270,86,150,0
87,725000,275,89,155,0
88,750000,275,92,160,0
89,775000,275,95,165,0
90,800000,280,98,170,0
91,1000000,280,102,170,0
92,1250000,280,102,175,0
93,1500000,280,107,175,0
94,1750000,280,107,180,0
95,2000000,280,112,180,0
96,2500000,285,112,185,0
97,3000000,290,117,185,0
98,3500000,295,117,190,0
99,4000000,300,122,190,0
100,-1,300,122,195,0
