Level,Experience,Health,STR,VIT,MAG
1,100,100,1,0,0
2,150,100,2,0,0
3,200,105,2,1,0
4,250,105,3,1,0
5,300,105,4,1,0
6,400,110,4,2,0
7,450,110,5,2,0
8,500,110,6,2,0
9,550,110,7,2,0
10,600,115,9,3,0
11,700,115,10,3,0
12,750,115,10,4,0
13,800,115,11,4,0
14,850,115,12,4,0
15,900,115,13,5,0
16,1000,120,15,5,0
17,1100,120,16,5,0
18,1200,120,17,6,0
19,1300,120,18,6,0
20,1400,120,20,8,0
21,1500,125,22,9,0
22,2000,125,24,10,0
23,2500,125,26,11,0
24,3000,125,28,12,0
25,3500,125,30,13,0
26,4000,130,31,15,0
27,4100,130,32,17,0
28,4200,130,33,19,0
29,4300,130,34,21,0
30,4400,130,35,23,0
31,4500,135,37,25,0
32,5000,135,38,26,0
33,5500,135,39,27,0
34,6000,135,40,28,0
35,7000,140,42,30,0
36,8000,140,45,33,0
37,8500,145,47,35,0
38,9500,150,48,36,0
39,10000,155,51,36,0
40,11000,160,51,39,0
41,15000,160,55,39,0
42,20000,160,55,41,0
43,25000,160,59,41,0
44,30000,160,59,45,0
45,35000,160,63,45,0
46,36000,162,64,47,0
47,37000,164,66,48,0
48,38000,166,67,50,0
49,39000,168,69,51,0
50,40000,170,70,53,0
51,41000,175,71,54,0
52,42000,180,72,55,0
53,43000,185,73,56,0
54,44000,190,74,57,0
55,45000,195,75,58,0
56,50000,200,77,60,0
57,52000,205,79,60,0
58,54000,210,81,60,0
59,56000,215,83,60,0
60,58000,220,85,60,0
61,60000,220,89,60,0
62,70000,220,89,64,0
63,80000,220,93,64,0
64,90000,220,93,68,0
65,100000,220,97,68,0
66,125000,225,98,71,0
67,150000,230,101,72,0
68,175000,235,102,75,0
69,200000,240,105,76,0
70,250000,245,110,81,0
71,300000,250,115,81,0
72,350000,250,115,86,0
73,400000,250,120,86,0
74,450000,250,120,91,0
75,500000,250,125,96,0
76,502500,255,127,99,0
77,505000,260,130,101,0
78,507500,265,132,104,0
79,510000,270,135,106,0
80,520000,275,137,109,0
81,540000,275,142,114,0
82,560000,275,147,119,0
83,580000,275,152,124,0
84,600000,275,157,129,0
85,650000,280,167,139,0
86,700000,280,177,149,0
87,725000,280,178,159,0
88,750000,280,188,169,0
89,775000,280,198,179,0
90,800000,280,208,189,0
91,1000000,295,223,204,0
92,1250000,300,238,219,0
93,1500000,305,253,234,0
94,1750000,310,268,249,0
95,2000000,315,283,264,0
96,2500000,320,303,284,0
97,3000000,320,323,304,0
98,3500000,320,343,324,0
99,4000000,320,363,344,0
100,-1,325,373,354,0
