Level,Experience,Obtain,Amount
1,3,,0
2,5,500 EXP TICKET,1
3,6,Small Healing Potion,1
4,8,FREE TRACK TICKET,1
5,10,Progression Gift,1
6,11,500 EXP TICKET,3
7,12,Basic Training Voucher,1
8,13,5 POWER POTION,1
9,14,Map Fragment,1
10,15,Scroll Of Wisdom,5
11,20,1000 EXP TICKET,1
12,25,Medium Healing Potion,1
13,30,2X EXP POTION,1
14,35,Map Fragment,1
15,40,10 CREDIT COUPON,1
16,42,1000 EXP TICKET,3
17,44,Basic Training Voucher,5
18,46,10 POWER POTION,1
19,48,5X EXP POTION,1
20,50,Basic Skill Ticket,1
21,55,2500 EXP TICKET,1
22,60,Great Healing Potion,1
23,65,Map Fragment,3
24,70,2X POWER POTION,1
25,75,Progression Gift,25
26,76,5000 EXP TICKET,1
27,77,PREMIUM TRACK TICKET,1
28,78,5X POWER ELIXIR,1
29,79,Leveling Ticket Voucher,1
30,80,Advance Skill Ticket,1
